Timestamp,101,200,201,202,203,204,301,302,303,307,308,400,401,402,403,404,405,406,407,409,410,412,414,416,418,421,422,423,425,426,429,444,451,452,464,479,500,501,502,503,504,511,520,521,522,523,525,526,530,999
2022-04-07_20-28-46,106781,458607508,14671,207236,1016472,219695,248332069,68828131,726243,2967680,4619156,93875718,76501381,161487,81065658,103577017,517734,776853,2840626,2485158,544620,67826,30027,17042,69677,33981,25589,52670,20070,464339,3433563,259502,14181,23568,13554,37116,11565281,284698,4329124,14222196,142092,28775,444033,1885766,51511,352518,171582,240702,750420,38637
2022-04-07_20-29-26,106781,458607508,14671,207236,1016472,219695,248332069,68828131,726243,2967680,4619156,93875718,76501381,161487,81065658,103577017,517734,776853,2840626,2485158,544620,67826,30027,17042,69677,33981,25589,52670,20070,464339,3433563,259502,14181,23568,13554,37116,11565281,284698,4329124,14222196,142092,28775,444033,1885766,51511,352518,171582,240702,750420,38637
2022-04-07_20-29-48,106781,458607508,14671,207236,1016472,219695,248332069,68828131,726243,2967680,4619156,93875718,76501381,161487,81065658,103577017,517734,776853,2840626,2485158,544620,67826,30027,17042,69677,33981,25589,52670,20070,464339,3433563,259502,14181,23568,13554,37116,11565281,284698,4329124,14222196,142092,28775,444033,1885766,51511,352518,171582,240702,750420,38637
2022-04-07_20-33-25,106781,458607508,14671,207236,1016472,219695,248332069,68828131,726243,2967680,4619156,93875718,76501381,161487,81065658,103577017,517734,776853,2840626,2485158,544620,67826,30027,17042,69677,33981,25589,52670,20070,464339,3433563,259502,14181,23568,13554,37116,11565281,284698,4329124,14222196,142092,28775,444033,1885766,51511,352518,171582,240702,750420,38637
2022-04-14_13-48-05,108747,464650831,14891,210397,993925,219777,250659004,69295117,728408,2998143,4736237,94438027,76732366,171923,82838585,104578902,525824,661834,2855331,2557433,626380,68346,30415,16277,88989,33083,27201,52385,20149,467599,3781439,258878,14086,24109,13889,37094,11670161,283976,4400718,14283479,160716,29585,449244,1720951,51991,369289,176060,249944,839778,39473
